[1014/145215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1014/170900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/141659:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/142706:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1017/143058:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/085530:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/110026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/110937:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/121346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/141753:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/142332:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/164709:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/170151:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/170306:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1018/172006:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/091235:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/111404:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/122101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/135943:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/152844:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1019/162803:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1020/090647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1020/161136:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1020/161331:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1020/162403:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1020/170258:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1021/101900:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1024/084857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1024/171538:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1024/172045:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1024/172301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1025/093313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1025/111157:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1026/101646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1026/124115:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1026/164418:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1027/085313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1027/122646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1027/133338:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/085722:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/085945:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/090155:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/105238:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/121623:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/121926:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/122150:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1028/125455:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1031/091011:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1031/092614:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/093457:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/093938:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/124052:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/134547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1101/135421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/084503:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1102/090028:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/092019:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/092126:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/092305:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/103427:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/105533:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/125241:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/133342:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/171411:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1103/171627:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/090917:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/091610:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/091657:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1104/131127:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/085616:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/085735:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/092358:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/092434:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/100729:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/100812:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/100938:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/113215:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/114959:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/115252:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/143643:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/165146:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1107/172138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/095111:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/095447:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/100347:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1108/100506:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/085705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/085743:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/110100:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/111556:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/132307:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/132354:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1109/132601:ERROR:file_io.cc(30)] read: expected 4, observed 0
[1110/093247:ERROR:file_io.cc(30)] read: expected 4, observed 0
